Date,User,Message
2020-01-03 17:23:34,"김정식","이게 일키로"
2020-01-03 17:23:49,"승모","일점오 하자"
2020-01-03 17:24:40,"김정식","사진 2장"
2020-01-03 17:24:43,"김정식","이거 이키로"
2020-01-03 17:25:28,"승모","니랑 선미"
2020-01-03 17:25:31,"승모","먹나"
2020-01-03 17:25:34,"승모","방어"
2020-01-03 17:28:38,"김정식","먹지"
2020-01-03 17:29:02,"승모","그럼 이키로 해도 될듯"
2020-01-03 17:29:46,"김정식","이키로 한다"
2020-01-03 17:29:48,"김정식","탕탕탕"
2020-01-03 17:30:00,"김정식","방어 2kg"
2020-01-03 17:46:53,"강강강","탕탕탕"
2020-01-03 18:04:40,"강강강","가는길에 사가야할거 있음??"
2020-01-03 18:11:38,"김정식","흠"
2020-01-03 18:11:53,"김정식","술 - 와인2 맥주8 있고"
2020-01-03 18:11:56,"김정식","회사가고"
2020-01-03 18:12:11,"김정식","음식배달좀 시키고"
2020-01-03 18:12:21,"김정식","캐익쿠폰있어서 케익도 있음"
2020-01-03 18:12:25,"김정식","더 사올꺼있나"
2020-01-03 18:12:27,"김정식","ㅋㅋㅋㅋㅋ"
2020-01-03 18:15:58,"강강강","머 없음 그냥 가고 ㅋㅋㅋㅋㅋㅋ"
2020-01-03 18:16:24,"강강강","이따 미니빔 시연도 해주셈"
2020-01-03 18:17:35,"김정식","소주 먹을사람 있음??"
2020-01-03 18:17:42,"김정식","소주 집에 없음ㅋㅋ"
2020-01-03 18:23:27,"강강강","나 논드링커임"
2020-01-03 18:23:43,"강강강","맞다 운전자들 누구누구 술묵음??"
2020-01-03 18:40:56,"승모","난 맥주~ ㅋㅋ"
2020-01-03 18:41:05,"승모","다들 어디쯤?"
2020-01-03 18:41:26,"김정식","집가는중"
2020-01-03 18:41:45,"승모","글쿤"
2020-01-03 18:41:57,"승모","차 개막히네"
2020-01-03 18:44:47,"강강강","난 7시반 맞출듯"
2020-01-03 18:48:41,"김정식","슼호는"
2020-01-03 18:48:48,"김정식","지방순회 끝났나"
2020-01-03 18:48:51,"김정식","언제쯤 오노"
2020-01-03 18:55:55,"김정식","승모"
2020-01-03 18:55:59,"김정식","니차끌고오나"
2020-01-03 18:56:00,"김정식","스코는"
2020-01-03 18:56:20,"강강강","스코 장거리뛰느라 조용한가"
2020-01-03 18:56:36,"승모","어 난 차 가지고 감"
2020-01-03 19:05:08,"김정식","일단 오피스텔 안에 주차장은 차댈대 없음.."
2020-01-04 00:27:40,"김정식","https://newneek.co/?utm_campaign=not_yet_subscribed&utm_content=footer_subscription_link&utm_medium=email&utm_source=newneek_newsletter"
2020-01-04 01:47:46,"김정식","스코 커피 한잔하고 싶으면 올라와라~"
2020-01-04 01:49:57,"승모","스코 온나"
2020-01-04 02:28:38,"스코","커피나중에하자 먼저자라"
2020-01-04 02:28:49,"스코","이모티콘"
2020-01-04 02:30:41,"승모","그래"
2020-01-04 02:30:54,"승모","굿밤 하게"
2020-01-04 02:47:59,"강강강","그래"
2020-01-04 02:48:01,"강강강","뜨밤하게"
2020-01-04 11:52:57,"김정식","사진 4장"
2020-01-04 11:53:00,"김정식","다들 푹쉬라 ㅋㅋㅋ"
2020-01-04 12:21:11,"강강강","ㅋㅋㅋㅋㅋㅋㅋㅋ 냥집사 예비후보"
2020-01-04 14:30:41,"승모","도착"
2020-01-04 14:30:55,"승모","와 개피곤 ㅋㅋ"
2020-01-04 14:57:51,"스코","승모 잘 도착했구만~"
2020-01-04 14:59:56,"승모","어 ㅋㅋ 다들 고생많았다"
2020-01-04 15:01:20,"스코","식이 초대 고맙다~ 덕분에 잘 먹고 잘 놀았다~ 설명도 제대로 못하고 갑자기 먼저 일어나서 미안하구먼..ㅠ 다음에 볼 때는 어떻게든 이야기해줄게ㅋㅋ"
2020-01-04 15:35:30,"김정식","ㅋㅋㅋㅋㅋ그랴 다들 고생했다"
2020-01-04 15:35:32,"김정식","쉬라"
2020-01-04 16:20:15,"강강강","ㅋㅋㅋㅋㅋㅋㅋ 다음 모임 기대되는구만"
2020-01-04 16:20:33,"강강강","어제 토욜인것 같은 느낌인데"
2020-01-04 16:20:38,"강강강","내일도 주말이군"
2020-01-04 16:20:40,"강강강","개꿀"
2020-01-04 16:26:33,"승모","굿! 민성이도 푹 쉬게~"
2020-01-04 17:02:46,"강강강","얍얍 해피위켄드"
2020-01-04 17:33:01,"김정식","내 퇴사하고 올라오면 한번 모이자ㅋㅋㅋ"
2020-01-04 17:33:17,"김정식","승모도 서울로 이직해라"
2020-01-04 17:36:35,"승모","선미가 빌려준 책 읽고 있는데"
2020-01-04 17:36:57,"승모","내가 왜 작년에 서울로 안갔나 싶네"
2020-01-04 17:44:18,"김정식","내말안듣드만"
2020-01-04 18:01:29,"승모","암튼"
2020-01-04 18:01:47,"승모","니 퇴사하고 한번 모이는거 6개월안에 가능한거제"
2020-01-04 18:06:44,"김정식","네이버에 현중 타결 검색해서"
2020-01-04 18:07:12,"김정식","됐다하면 나 퇴사하구나 생각하면됨"
2020-01-04 18:10:43,"승모","그래"
2020-01-18 14:19:59,"강강강","승모 하루늦었지만 생축"
2020-01-18 14:20:17,"강강강","아니군 이틀이군"
2020-01-18 14:48:17,"스코","승모~~~!!! 생일축하!!!!"
2020-01-18 14:48:29,"스코","미안타 늦었다ㅠㅠ"
2020-01-18 15:56:24,"승모","다듪대가리박아"
2020-01-18 15:56:28,"승모","ㅋㅋ"
2020-01-18 15:56:39,"승모","농담이구 고맙다~~!"
2020-01-18 15:56:46,"승모","(씨익)"
2020-01-18 16:14:18,"강강강","대가리 오지게 박슴다 성님"
2020-01-18 16:14:38,"강강강","생일빵은 언제받누??"
2020-01-18 16:23:35,"스코","이모티콘"
2020-01-18 16:23:42,"스코","여기 생일빵!"
2020-01-18 16:31:11,"승모","오 스코 센스"
2020-01-18 16:31:12,"승모","ㅋㅋ"
2020-01-18 16:31:22,"승모","설에 부산 내려오는 사람은"
2020-01-18 16:31:28,"승모","식 밖에 없나"
2020-01-18 16:31:45,"강강강","아직 정해진게 없는데"
2020-01-18 16:31:48,"강강강","잘하면 갈지도??"
2020-01-18 16:32:01,"승모","오 오면 같이 보자"
2020-01-18 16:32:05,"강강강","스코 뒷얘기좀 들어야하는데"
